"Ontology","Namespace","Classes","EquivalentClasses","Object Properties","Data Properties","Individuals","Expressivity","SubProperties","Class Disjoint","ObjPropDomain","ObjPropRange","DataPropDomain","DataPropRange","InverseObjProp","FunctionalObjProp","FunctionalDataProp","InverseFuncObtProp","SymmtricObjProp","TransitiveObjProp","EquivalentObjProp"
"The Dublin Core (DC) ontology Terms","http://purl.org/dc/terms/","25","0","24","13","100","ALH(D)","9","0","4","24","1","13","0","0","0","0","0","0","0"
"Simple Knowledge Organization System Namespace(skos) ","http://www.w3.org/2004/02/skos/core#","5","0","17","1","0","SHIF","15","3","5","6","0","0","4","1","0","0","4","3","0"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Friend Of A Friend (FOAF) ontology","http://xmlns.com/foaf/0.1/","22","5","40","27","0","ALCHIF(D)","7","4","39","33","15","21","4","1","3","12","0","0","0"
"GoodRelations","http://purl.org/goodrelations/v1","38","6","53","49","46","SHI(D)","4","129","50","50","46","46","6","0","0","0","2","7","2"
"GeoNames","http://www.geonames.org/ontology","19","2","18","15","702","ALEROIN+(D)","7","0","15","16","7","1","0","0","0","0","1","1","0"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Description of a Project (DOAP)","http://usefulinc.com/ns/doap#","17","0","17","10","2","ALHIF(D)","2","0","14","12","9","10","0","0","0","2","0","0","0"
"Organization Ontology","http://www.w3.org/ns/org#","15","2","35","3","1","SRIF(D)","8","10","32","28","1","1","9","2","0","0","0","1","0"
"vcard(Verify Again)","http://www.w3.org/2001/vcard-rdf/3.0#","28","0","7","0","20","AL","0","0","0","7","0","0","0","0","0","0","0","0","0"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"MarineTLO ontology","http://www.ics.forth.gr/isl/ontology/MarineTLO/","100","0","81","2","3","ALHI(D)","3","0","53","53","2","2","27","0","0","0","0","0","0"
